# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = model_model
# start_datetime = 2026-04-03 14:32:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = player_data.json
# init = 2 (Default)
# random
#   seed = 1525420468 (Default)
# output
#   file = base_model_results.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 2
# stanc_version = stanc3 v2.38.0-77-g002979f
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,kappa,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.610302
# Diagonal elements of inverse mass matrix:
# 0.0470834, 0.35669, 0.0144418, 0.0134428, 0.00826597, 0.00758519
-1062.5107,0.83467972,0.61030207,3,7,0,1069.934,0.31739059,18.380915,0.27437723,0.236033,0.3171242,0.31435505
-1062.5965,0.93923976,0.61030207,3,7,0,1065.138,0.27665602,55.667734,0.26431112,0.2827699,0.29236381,0.32917633
-1063.8302,0.61912365,0.61030207,3,7,0,1068.7868,0.30375191,18.35731,0.23273369,0.24556396,0.32976939,0.32829627
-1064.0735,0.98907111,0.61030207,3,7,0,1065.1989,0.26253278,40.459191,0.30060092,0.29347642,0.28034266,0.28226305
-1064.9637,0.63793704,0.61030207,3,7,0,1070.6455,0.37109352,10.937522,0.24361581,0.24801247,0.27208057,0.3014173
-1063.1675,0.99881772,0.61030207,3,7,0,1068.6233,0.27586126,35.91715,0.2766464,0.25896394,0.3454962,0.29881839
-1064.5815,0.87463093,0.61030207,3,7,0,1067.9685,0.28625636,10.565674,0.27231267,0.27991547,0.2629934,0.28602115
-1063.9356,0.99575168,0.61030207,3,7,0,1067.4027,0.28900049,55.770455,0.26221413,0.26002023,0.34044883,0.32637971
-1063.7501,0.9946173,0.61030207,2,3,0,1064.6559,0.30165459,59.655734,0.26002245,0.25218697,0.33221439,0.32537068
-1061.877,0.64802715,0.61030207,2,3,0,1067.6585,0.24463732,40.30018,0.26336578,0.25763386,0.3167596,0.30954317
-1061.7517,0.95094378,0.61030207,3,7,0,1063.6495,0.33876742,19.417456,0.26970575,0.26518384,0.2888288,0.31294533
-1062.1174,0.9137069,0.61030207,3,7,0,1064.4466,0.22406434,27.423379,0.25985377,0.27082465,0.31502958,0.29401871
-1061.4823,0.86636642,0.61030207,3,7,0,1066.261,0.32713516,25.013327,0.278442,0.25225205,0.30910375,0.30859721
-1062.7518,0.79336644,0.61030207,3,7,0,1064.7857,0.3309147,54.43105,0.29326349,0.27878041,0.29822649,0.30344767
-1061.9186,1,0.61030207,3,7,0,1063.7013,0.26982534,20.906012,0.26630369,0.30004103,0.31324872,0.30817295
-1064.1951,0.91250149,0.61030207,2,7,0,1065.1131,0.26540344,12.913715,0.30918693,0.30022774,0.29845549,0.29724864
-1063.6892,0.99935693,0.61030207,3,7,0,1066.3377,0.28334717,14.899161,0.28414909,0.26610019,0.28331867,0.2713805
-1062.544,0.84999744,0.61030207,3,7,0,1068.4242,0.27804651,11.944056,0.27103937,0.28799472,0.28112452,0.30380653
-1063.5415,0.96502156,0.61030207,3,7,0,1064.7408,0.29467252,77.553699,0.24567734,0.28655952,0.31230585,0.3050003
-1066.9732,0.68970829,0.61030207,3,7,0,1069.6489,0.3404163,3.1118734,0.29076495,0.25468281,0.33140363,0.29075201
-1065.1568,0.96653614,0.61030207,3,7,0,1071.0804,0.26111057,12.699878,0.27449727,0.21907682,0.29349184,0.27849487
-1063.3833,0.99193648,0.61030207,3,7,0,1067.6943,0.30824852,16.702724,0.24151123,0.30486603,0.28541344,0.31931849
-1065.6019,0.93474952,0.61030207,3,7,0,1068.2072,0.34842709,4.3315905,0.27438646,0.25376295,0.33554696,0.30211425
-1066.6382,0.92270402,0.61030207,2,7,0,1067.342,0.37764567,3.282445,0.27940634,0.26248846,0.33710668,0.30416958
-1062.2451,0.93239025,0.61030207,3,7,0,1068.1856,0.23881329,38.403249,0.25689973,0.25620863,0.27964828,0.29161131
-1062.6924,0.94823521,0.61030207,3,7,0,1064.3411,0.35192601,18.084747,0.2791612,0.28362739,0.32415033,0.32326813
-1061.1862,1,0.61030207,3,7,0,1063.0822,0.25318554,36.016939,0.25826151,0.27438929,0.30533712,0.29522312
-1064.3775,0.75576055,0.61030207,3,7,0,1068.6398,0.30216134,16.128407,0.22389512,0.26979756,0.28785761,0.33980363
-1063.54,0.89234817,0.61030207,2,7,0,1068.966,0.21066999,17.766101,0.25420102,0.27715248,0.31892938,0.279282
-1064.8917,0.95975868,0.61030207,3,7,0,1066.441,0.24588158,15.132299,0.23109153,0.30131647,0.33550766,0.29263985
-1062.7308,0.98945445,0.61030207,3,7,0,1067.4985,0.26238218,51.74554,0.23376069,0.27438044,0.28198211,0.29851307
-1062.6713,0.78326698,0.61030207,3,7,0,1065.9961,0.28319394,8.8688849,0.2753761,0.2471948,0.29941191,0.30062928
-1061.2676,0.9237452,0.61030207,3,7,0,1066.8806,0.26566829,20.829959,0.2712825,0.27720523,0.28628188,0.30211887
-1062.1725,0.91495192,0.61030207,3,7,0,1063.6539,0.30815602,32.884393,0.2809909,0.23859422,0.31742572,0.3070015
-1062.2104,0.98031455,0.61030207,3,7,0,1063.453,0.26514633,22.672367,0.24903551,0.29830901,0.2847591,0.30544598
-1067.3313,0.74700702,0.61030207,3,7,0,1069.6415,0.20556686,40.952508,0.19948633,0.24987869,0.31065278,0.28884871
-1063.8685,0.99970845,0.61030207,3,7,0,1069.8131,0.32178466,8.8769672,0.29023277,0.24864317,0.2973208,0.32916477
-1063.7533,1,0.61030207,3,7,0,1064.9881,0.3188034,6.3180952,0.28856064,0.25771213,0.29914374,0.31771647
-1063.5767,0.99958592,0.61030207,3,7,0,1065.1312,0.31298707,6.8242167,0.26118508,0.26629838,0.28187913,0.29468443
-1065.7403,0.86300767,0.61030207,3,7,0,1069.5309,0.38189421,15.654528,0.28337451,0.23376747,0.32010126,0.33869211
-1063.5016,0.96608619,0.61030207,3,7,0,1068.1071,0.21380174,16.976914,0.267521,0.2695343,0.28645619,0.27553289
-1062.4887,0.96788284,0.61030207,3,7,0,1066.3181,0.2473016,14.069271,0.23855959,0.28079728,0.31926157,0.30294347
-1061.2833,0.99456595,0.61030207,3,7,0,1063.0016,0.28804468,29.267642,0.27279992,0.28607864,0.29552945,0.32111562
-1066.329,0.50076781,0.61030207,2,7,0,1073.7986,0.24586385,40.392076,0.32296931,0.30012497,0.32016197,0.29633821
-1061.6537,1,0.61030207,3,7,0,1067.8076,0.26243811,23.00516,0.24590912,0.28318952,0.28791288,0.29476576
-1061.9812,0.9441668,0.61030207,2,7,0,1063.3837,0.23748948,30.862506,0.27842456,0.24511247,0.29980125,0.30726285
-1065.5889,0.74869267,0.61030207,3,7,0,1067.905,0.36478924,44.743857,0.28481961,0.32220985,0.31948536,0.30459444
-1061.957,1,0.61030207,2,3,0,1066.6222,0.26792605,17.25217,0.24283559,0.27196091,0.31694879,0.32173644
-1062.9245,0.95837155,0.61030207,3,7,0,1064.1131,0.32768161,12.668595,0.23806817,0.25114035,0.28862159,0.31016067
